거래년월일,거래량
2016-05-12,827979
2016-05-13,832229
2016-05-14,512140
2016-05-16,734628
2016-05-17,712624
2016-05-18,769078
2016-05-19,690497
2016-05-20,684556
2016-05-21,650105
2016-05-23,820069
2016-05-24,602430
2016-05-25,603418
2016-05-26,410795
2016-05-27,603966
2016-05-28,618410
2016-05-30,727692
2016-05-31,622190
2016-06-01,660983
2016-06-02,599687
2016-06-03,587877
2016-06-04,575885
2016-06-06,600911
2016-06-07,505367
2016-06-08,516287
2016-06-09,368983
2016-06-10,524360
2016-06-11,313160
2016-06-13,581496
2016-06-14,563600
2016-06-15,642775
2016-06-16,445167
2016-06-17,531720
2016-06-18,486020
2016-06-20,598031
2016-06-21,645932
2016-06-22,557705
2016-06-23,564179
2016-06-24,541765
2016-06-25,518070
2016-06-27,631390
2016-06-29,644742
2016-06-30,1009432
2016-07-01,1022850
2016-07-02,793410
2016-07-04,598760
2016-07-05,492890
2016-07-06,623475
2016-07-07,569130
2016-07-09,355489
2016-07-11,286785
2016-07-12,468575
2016-07-13,418750
2016-07-14,301695
2016-07-15,341464
2016-07-16,51740
2016-07-19,251035
2016-07-20,212870
2016-07-21,257096
2016-07-22,72055
2016-07-23,135260
2016-07-25,405779
2016-07-26,104680
2016-07-27,336015
2016-07-28,75775
2016-07-29,206721
2016-07-30,200522
2016-08-02,144167
2016-08-03,196637
2016-08-04,212465
2016-08-05,192655
2016-08-06,50169
2016-08-08,299670
2016-08-09,203161
2016-08-10,269639
2016-08-11,244361
2016-08-13,264013
2016-08-15,289309
2016-08-16,218095
2016-08-17,231401
2016-08-18,220090
2016-08-19,224580
2016-08-20,194250
2016-08-22,176295
2016-08-23,116815
2016-08-24,135760
2016-08-25,93044
2016-08-26,90140
2016-08-27,121364
2016-08-29,87645
2016-08-30,65557
2016-08-31,54339
2016-09-01,54390
2016-09-02,39566
2016-09-03,53472
2016-09-05,39057
2016-09-06,35125
2016-09-07,24635
2016-09-08,41753
2016-09-09,48883
2016-09-10,97695
2016-09-12,115784
2016-09-13,42185
