ds,y
2015-09-14,130230.0
2015-09-15,92490.0
2015-09-16,92055.0
2015-09-17,98400.0
2015-09-18,81595.0
2015-09-19,80290.0
2015-09-20,320.0
2015-09-21,84655.0
2015-09-22,113391.0
2015-09-23,172505.0
2015-09-24,203085.0
2015-09-25,70555.0
2015-09-26,5705.0
2015-09-27,0.0
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,8840.0
2015-10-01,58710.0
2015-10-02,24280.0
2015-10-03,38810.0
2015-10-04,0.0
2015-10-05,12925.0
2015-10-06,41920.0
2015-10-07,10870.0
2015-10-08,23565.0
2015-10-09,3970.0
2015-10-10,12350.0
2015-10-11,0.0
2015-10-12,7260.0
2015-10-13,12360.0
2015-10-14,1640.0
2015-10-15,8680.0
2015-10-16,4010.0
2015-10-17,9450.0
2015-10-18,0.0
2015-10-19,2590.0
2015-10-20,3160.0
2015-10-21,2140.0
2015-10-22,2720.0
2015-10-23,590.0
2015-10-24,6340.0
2015-10-25,0.0
2015-10-26,1460.0
2015-10-27,1210.0
2015-10-28,0.0
2015-10-29,480.0
2015-10-30,0.0
2015-10-31,400.0
2015-11-01,0.0
2015-11-02,1190.0
2015-11-03,420.0
2015-11-04,340.0
2015-11-05,0.0
2015-11-06,0.0
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,0.0
2015-11-10,280.0
2015-11-11,0.0
2015-11-12,0.0
2015-11-13,0.0
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,60.0
2015-11-17,0.0
2015-11-18,0.0
2015-11-19,0.0
2015-11-20,0.0
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,0.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,0.0
2015-12-03,0.0
2015-12-04,0.0
2015-12-05,0.0
2015-12-06,0.0
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.0
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,280.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,0.0
2015-12-31,0.0
2016-01-01,0.0
2016-01-02,0.0
2016-01-03,0.0
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,0.0
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,0.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,0.0
2016-01-28,0.0
2016-01-29,1310.0
2016-01-30,0.0
2016-01-31,0.0
2016-02-01,0.0
2016-02-02,1546.0
2016-02-03,450.0
2016-02-04,1408.0
2016-02-05,2693.0
2016-02-06,1921.0
2016-02-07,0.0
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,0.0
2016-02-11,7525.0
2016-02-12,15520.0
2016-02-13,16796.0
2016-02-14,0.0
2016-02-15,17525.0
2016-02-16,18925.0
2016-02-17,16015.0
2016-02-18,19490.0
2016-02-19,36913.0
2016-02-20,38517.0
2016-02-21,0.0
2016-02-22,67205.0
2016-02-23,35905.0
2016-02-24,51490.0
2016-02-25,64057.0
2016-02-26,93515.0
2016-02-27,76294.0
2016-02-28,0.0
2016-02-29,102170.0
2016-03-01,60194.0
2016-03-02,86832.0
2016-03-03,124699.0
2016-03-04,172887.0
2016-03-05,143354.0
2016-03-06,0.0
2016-03-07,247730.0
2016-03-08,184245.0
2016-03-09,194172.0
2016-03-10,155465.0
2016-03-11,130689.0
2016-03-12,103172.0
2016-03-13,0.0
2016-03-14,115865.0
2016-03-15,91919.0
2016-03-16,84885.0
2016-03-17,55407.0
2016-03-18,41033.0
2016-03-19,55741.0
2016-03-20,0.0
2016-03-21,85471.0
2016-03-22,45260.0
2016-03-23,28746.0
2016-03-24,27558.0
2016-03-25,48983.0
2016-03-26,77006.0
2016-03-27,0.0
2016-03-28,66861.0
2016-03-29,57580.0
2016-03-30,70311.0
2016-03-31,72375.0
2016-04-01,83718.0
2016-04-02,138185.0
2016-04-03,0.0
2016-04-04,169282.0
2016-04-05,151618.0
2016-04-06,140582.0
2016-04-07,97445.0
2016-04-08,113465.0
2016-04-09,135857.0
2016-04-10,0.0
2016-04-11,148670.0
2016-04-12,138143.0
2016-04-13,164285.0
2016-04-14,188560.0
2016-04-15,194810.0
2016-04-16,160859.0
2016-04-17,0.0
2016-04-18,239077.0
2016-04-19,189224.0
2016-04-20,274329.0
2016-04-21,266922.0
2016-04-22,292665.0
2016-04-23,341765.0
2016-04-24,0.0
2016-04-25,454927.0
2016-04-26,378778.0
2016-04-27,386380.0
2016-04-28,375145.0
2016-04-29,417222.0
2016-04-30,402348.0
2016-05-01,0.0
2016-05-02,686422.0
2016-05-03,546379.0
2016-05-04,650567.0
2016-05-05,698240.0
2016-05-06,609303.0
2016-05-07,753372.0
2016-05-08,0.0
2016-05-09,890567.5
2016-05-10,792579.0
2016-05-11,890567.5
2016-05-12,827979.0
2016-05-13,832229.0
2016-05-14,512140.0
2016-05-15,0.0
2016-05-16,734628.0
2016-05-17,712624.0
2016-05-18,769078.0
2016-05-19,690497.0
2016-05-20,684556.0
2016-05-21,650105.0
2016-05-22,0.0
2016-05-23,820069.0
2016-05-24,602430.0
2016-05-25,603418.0
2016-05-26,410795.0
2016-05-27,603966.0
2016-05-28,618410.0
2016-05-29,0.0
2016-05-30,727692.0
2016-05-31,622190.0
2016-06-01,660983.0
2016-06-02,599687.0
2016-06-03,587877.0
2016-06-04,575885.0
2016-06-05,0.0
2016-06-06,600911.0
2016-06-07,505367.0
2016-06-08,516287.0
2016-06-09,368983.0
2016-06-10,524360.0
2016-06-11,313160.0
2016-06-12,0.0
2016-06-13,581496.0
2016-06-14,563600.0
2016-06-15,642775.0
2016-06-16,445167.0
2016-06-17,531720.0
2016-06-18,486020.0
2016-06-19,0.0
2016-06-20,598031.0
2016-06-21,645932.0
2016-06-22,557705.0
2016-06-23,564179.0
2016-06-24,541765.0
2016-06-25,518070.0
2016-06-26,0.0
2016-06-27,631390.0
2016-06-28,0.0
2016-06-29,644742.0
2016-06-30,890567.5
2016-07-01,890567.5
2016-07-02,793410.0
2016-07-03,0.0
2016-07-04,598760.0
2016-07-05,492890.0
2016-07-06,623475.0
