거래년월일,거래량
2015-09-09,177645.0
2015-09-10,224288.0
2015-09-11,194665.0
2015-09-12,196645.0
2015-09-13,0.0
2015-09-14,219268.0
2015-09-15,187375.0
2015-09-16,166854.0
2015-09-17,191345.0
2015-09-18,147910.0
2015-09-19,149055.0
2015-09-20,1090.0
2015-09-21,170475.0
2015-09-22,250380.0
2015-09-23,334295.0
2015-09-24,407982.0
2015-09-25,162749.0
2015-09-26,11704.0
2015-09-27,0.0
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,18520.0
2015-10-01,107365.0
2015-10-02,87380.0
2015-10-03,117604.0
2015-10-04,0.0
2015-10-05,92740.0
2015-10-06,85440.0
2015-10-07,40550.0
2015-10-08,54550.0
2015-10-09,29910.0
2015-10-10,32945.0
2015-10-11,0.0
2015-10-12,24560.0
2015-10-13,41144.0
2015-10-14,12965.0
2015-10-15,33790.0
2015-10-16,9535.0
2015-10-17,25640.0
2015-10-18,0.0
2015-10-19,5695.0
2015-10-20,15960.0
2015-10-21,5100.0
2015-10-22,9880.0
2015-10-23,650.0
2015-10-24,16675.0
2015-10-25,0.0
2015-10-26,3140.0
2015-10-27,7570.0
2015-10-28,670.0
2015-10-29,2270.0
2015-10-30,270.0
2015-10-31,830.0
2015-11-01,0.0
2015-11-02,1190.0
2015-11-03,2150.0
2015-11-04,820.0
2015-11-05,20.0
2015-11-06,70.0
2015-11-07,1020.0
2015-11-08,0.0
2015-11-09,150.0
2015-11-10,5106.0
2015-11-11,0.0
2015-11-12,0.0
2015-11-13,200.0
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,60.0
2015-11-17,0.0
2015-11-18,0.0
2015-11-19,130.0
2015-11-20,7500.0
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,0.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,0.0
2015-12-03,0.0
2015-12-04,0.0
2015-12-05,0.0
2015-12-06,0.0
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.0
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,0.0
