연도,월,일,거래량
2021,February,27,85430
2021,March,1,64700
2021,March,2,38030
2021,March,3,65960
2021,March,4,46329
2021,March,5,61399
2021,March,6,90980
2021,March,8,85112
2021,March,9,57642
2021,March,10,91789
2021,March,11,110015
2021,March,12,143214
2021,March,13,169003
2021,March,15,122813
2021,March,16,86017
2021,March,17,96308
2021,March,18,89810
2021,March,19,107869
2021,March,20,124911
2021,March,22,112592
2021,March,23,60545
2021,March,24,99674
2021,March,25,100109
2021,March,26,121788
2021,March,27,134087
2021,March,29,138833
2021,March,30,98629
2021,March,31,134035
2021,April,1,119165
2021,April,2,200561
2021,April,3,216658
2021,April,5,260350
2021,April,6,227301
2021,April,7,298423
2021,April,8,281753
2021,April,10,425244
2021,April,12,296189
2021,April,13,268215
2021,April,14,360381
2021,April,15,309690
2021,April,16,312266
2021,April,17,359807
2021,April,19,294981
2021,April,20,258604
2021,April,21,352797
2021,April,22,335886
2021,April,24,266310
2021,April,26,395437
2021,April,27,325264
2021,April,28,407700
2021,April,29,284370
2021,April,30,355047
2021,May,1,407666
2021,May,3,459536
2021,May,4,342979
2021,May,5,591495
2021,May,6,679896
2021,May,7,693100
2021,May,8,489620
2021,May,10,744890
2021,May,11,590220
2021,May,12,642339
2021,May,13,651272
2021,May,14,722309
2021,May,15,753898
2021,May,17,613541
2021,May,18,647319
2021,May,19,491732
2021,May,20,444515
2021,May,22,411095
2021,May,24,500724
2021,May,25,409511
2021,May,26,560552
2021,May,27,523655
2021,May,28,591819
2021,May,29,609836
2021,May,31,445663
2021,June,1,523380
2021,June,2,437258
2021,June,3,501048
2021,June,4,567719
2021,June,5,573680
2021,June,7,431660
2021,June,8,262454
2021,June,9,267890
2021,June,10,293883
2021,June,11,349672
2021,June,12,401780
2021,June,14,294240
2021,June,15,204990
2021,June,16,240615
2021,June,17,250926
2021,June,18,285655
2021,June,19,288600
2021,June,21,230700
2021,June,22,255735
2021,June,23,442391
2021,June,24,474443
2021,June,25,404075
2021,June,26,363720
2021,June,28,562220
2021,June,29,478045
2021,June,30,508914
2021,July,1,523968
2021,July,2,513227
2021,July,3,410180
2021,July,5,471127
2021,July,6,446236
2021,July,8,390894
2021,July,9,348780
2021,July,10,358410
2021,July,12,500605
2021,July,13,329210
2021,July,14,305699
2021,July,17,371735
2021,July,19,238585
2021,July,23,151640
2021,July,24,183980
2021,July,26,219440
2021,July,27,165645
2021,July,28,143045
2021,July,30,126180
2021,July,31,88005
2021,August,2,99360
2021,August,3,91135
2021,August,5,77650
2021,August,6,68380
2021,August,7,13030
2021,August,9,75020
2021,August,11,47155
2021,August,12,47925
2021,August,13,50855
2021,August,14,87085
2021,August,17,89465
2021,August,18,57685
2021,August,20,82475
2021,August,21,85165
2021,August,24,62850
2021,August,25,50145
2021,August,27,51515
2021,August,28,43880
2021,September,1,29510
2021,September,2,30180
2021,September,4,24350
2021,September,6,24050
2021,September,9,18795
2021,September,10,15288
2021,September,11,16600
2021,September,13,23820
2021,September,14,22050
2021,September,15,14550
2021,September,16,28703
2021,September,17,38418
2021,September,18,16580
2021,September,19,610
2021,September,24,9955
2021,September,25,6430
2021,September,27,1330
2021,September,28,4880
2021,September,29,2030
2021,September,30,2410
2021,October,1,4020
2021,October,2,8440
2021,October,4,1980
2021,October,5,430
2021,October,6,2360
2021,October,7,3060
2021,October,8,4100
2021,October,9,3220
2021,October,11,1930
2021,October,12,530
2021,October,13,1475
2021,October,14,1700
2021,October,15,730
2021,October,16,2290
2021,October,19,450
2021,October,21,1960
2021,October,23,70
2021,October,25,500
2021,October,26,680
2021,October,27,310
2021,October,29,1070
2021,November,3,440
2021,November,5,1470
2021,November,13,500
2021,November,20,370
2021,November,27,340
2021,December,7,905
2021,December,8,410
2021,December,9,680
2021,December,10,370
2021,December,11,355
2021,December,15,790
2021,December,16,1020
2021,December,17,385
2021,December,18,1130
2021,December,20,1050
2021,December,22,1080
2021,December,24,1040
2021,December,28,820
2021,December,29,150
2021,December,30,550
2022,January,7,150
2022,January,8,490
2022,January,13,310
2022,January,14,300
2022,January,15,730
2022,January,19,380
2022,January,21,670
2022,January,24,925
2022,January,26,765
2022,January,27,186
2022,January,28,593
2022,January,29,2108
2022,January,31,130
2022,February,4,6590
2022,February,5,8730
2022,February,7,9705
2022,February,8,10015
2022,February,9,12545
2022,February,10,10940
2022,February,11,20970
2022,February,12,42889
2022,February,14,39492
2022,February,15,24231
2022,February,16,45115
2022,February,17,46319
2022,February,18,42360
2022,February,19,58749
2022,February,21,79281
2022,February,22,34826
2022,February,23,74751
2022,February,24,69717
2022,February,26,138224
2022,February,28,104763
2022,March,1,87985
2022,March,2,196870
2022,March,3,167292
2022,March,4,177766
2022,March,5,189517
2022,March,7,174002
2022,March,8,112580
2022,March,9,182531
2022,March,10,174267
2022,March,11,193155
2022,March,12,204574
2022,March,14,156040
2022,March,15,97307
2022,March,16,128239
2022,March,17,90454
2022,March,18,133651
2022,March,19,170877
2022,March,21,91335
2022,March,22,58658
2022,March,23,92859
2022,March,24,125041
2022,March,25,146120
2022,March,26,164669
2022,March,28,100245
2022,March,29,63870
2022,March,30,116973
2022,March,31,125319
2022,April,1,147608
2022,April,2,173646
2022,April,4,116359
2022,April,5,118525
2022,April,6,153115
2022,April,7,196687
2022,April,8,204114
2022,April,9,246101
2022,April,11,195090
2022,April,12,144731
2022,April,13,190840
2022,April,14,167829
2022,April,15,271026
2022,April,16,270685
2022,April,18,161479
2022,April,19,168340
2022,April,20,275635
2022,April,21,341753
2022,April,22,447665
2022,April,23,556022
2022,April,25,385023
2022,April,26,375297
2022,April,27,454233
2022,April,28,393164
2022,April,29,551303
2022,April,30,616062
2022,May,2,488876
2022,May,3,347972
2022,May,4,600904
2022,May,5,606759
2022,May,6,695889
2022,May,7,772260
2022,May,9,443015
2022,May,10,463595
2022,May,11,924164
2022,May,12,693979
2022,May,13,719078
2022,May,14,762107
2022,May,16,501973
2022,May,17,389953
2022,May,19,633336
2022,May,20,733537
2022,May,21,748715
2022,May,24,553160
2022,May,25,733804
2022,May,26,803256
2022,May,27,801653
2022,May,28,882032
2022,May,30,571683
2022,May,31,397191
2022,June,1,572796
2022,June,2,669469
2022,June,3,667170
2022,June,4,678869
2022,June,6,396420
2022,June,7,384257
2022,June,8,443012
2022,June,9,571145
2022,June,10,571515
2022,June,11,567200
2022,June,13,433968
2022,June,14,388985
2022,June,15,630164
2022,June,16,697161
2022,June,17,656280
2022,June,18,664509
2022,June,20,477495
2022,June,21,379944
2022,June,22,356374
2022,June,23,310725
2022,June,24,550005
2022,June,25,551080
2022,June,27,372140
2022,June,28,312220
2022,June,29,380090
2022,June,30,419063
2022,July,1,490585
2022,July,2,453145
2022,July,4,302940
2022,July,5,263550
2022,July,6,323125
2022,July,7,307975
2022,July,8,351790
2022,July,9,327000
2022,July,11,169965
2022,July,12,186848
2022,July,13,151507
2022,July,14,217525
2022,July,15,202555
2022,July,16,179805
2022,July,18,66255
2022,July,20,93130
2022,July,21,78965
2022,July,22,103930
2022,July,23,130105
2022,July,25,64375
2022,July,26,59450
2022,July,27,61552
2022,July,28,96035
2022,July,29,74838
2022,July,30,90400
2022,August,1,21470
2022,August,2,46105
2022,August,3,41915
2022,August,4,50960
2022,August,5,58885
2022,August,6,9020
2022,August,8,71285
2022,August,9,61860
2022,August,10,39075
2022,August,11,20500
2022,August,12,33790
2022,August,13,21895
2022,August,15,9005
2022,August,16,9795
2022,August,17,3870
2022,August,18,10890
2022,August,19,30075
2022,August,20,6765
2022,August,22,4640
2022,August,23,3150
2022,August,24,3375
2022,August,25,2885
2022,August,26,15730
2022,August,27,16505
2022,August,29,2680
2022,August,30,1240
2022,August,31,5310
2022,September,1,5650
2022,September,2,4330
2022,September,3,3515
2022,September,5,5385
2022,September,6,2282
2022,September,7,7476
2022,September,8,15052
2022,September,9,3290
2022,September,13,1390
2022,September,14,7600
2022,September,15,9130
2022,September,16,7250
2022,September,17,13120
2022,September,19,1060
2022,September,20,7090
2022,September,21,3090
2022,September,22,8165
2022,September,23,5960
2022,September,24,8780
2022,September,26,750
2022,September,27,1910
2022,September,28,6685
2022,September,29,12920
2022,September,30,4060
2022,October,1,9135
2022,October,3,370
2022,October,4,460
2022,October,5,3210
2022,October,6,3830
2022,October,7,920
2022,October,8,2540
2022,October,10,80
2022,October,11,2610
2022,October,12,750
2022,October,13,1665
2022,October,14,915
2022,October,15,2240
2022,October,18,590
2022,October,21,580
2022,October,22,670
2022,October,24,80
2022,October,27,350
2022,October,28,740
2022,October,29,930
2022,November,1,530
2022,November,16,860
2022,November,17,1170
2022,November,18,730
2022,November,19,1770
2022,November,23,1350
2022,November,24,390
2022,November,25,670
2022,November,26,1340
2022,November,30,345
2022,December,1,1330
2022,December,2,72
2022,December,3,260
2022,December,7,270
2022,December,8,24
2022,December,9,24
2022,December,10,180
2022,December,14,804
2022,December,15,694
2022,December,16,430
2022,December,19,868
2022,December,20,10
2022,December,21,850
2022,December,23,40
2022,December,24,840
2022,December,26,720
2022,December,28,130
2022,December,29,340
2022,December,31,935
